"filename", "language", "Markdown", "comment", "blank", "total"
"h:\Coursera HTML+CSS3+JS\coursera-cs-mod2-solution\README.md", "Markdown", 2, 0, 1, 3
"Total", "-", 2, 0, 1, 3
